code,journal
R018,北京邮电大学学报
G620,北京中医药
G017,北京中医药大学学报
N101,变压器
G410,标记免疫分析与临床
T098,表面技术
E135,冰川冻土
N008,兵工学报
R730,兵工自动化
N085,兵器材料科学与工程
T094,兵器装备工程学报
G018,病毒学报
C060,波谱学杂志
A808,渤海大学学报自然科学版
M005,材料保护
M103,材料导报
Y007,材料工程
M010,材料开发与应用
M008,材料科学与工程学报
M006,材料科学与工艺
N026,材料热处理学报
M009,材料研究学报
M704,材料与冶金学报
K512,采矿与安全工程学报
H009,蚕业科学
H525,草地学报
H234,草业科学
H527,草业学报
H538,草原与草坪
E616,测绘地理信息
E543,测绘工程
E600,测绘科学
E615,测绘科学技术学报
E510,测绘通报
E152,测绘学报
L017,测井技术
Y022,测控技术
R711,测试技术学报
H001,茶叶科学
X036,长安大学学报自然科学版
N056,长春理工大学学报自然科学版
G992,长春中医药大学学报
W010,长江科学院院报
Z029,长江流域资源与环境
J066,长沙理工大学学报自然科学版
G264,肠外与肠内营养
N024,车用发动机
E113,沉积学报
E102,成都理工大学学报自然科学版
G670,成都医学院学报
G019,成都中医药大学学报
V050,城市规划
V028,城市规划学刊
X043,城市轨道交通研究
X046,城市交通
J021,重庆大学学报自然科学版
X029,重庆交通大学学报自然科学版
N757,重庆理工大学学报自然科学版
A512,重庆师范大学学报自然科学版
G186,重庆医科大学学报
R559,重庆邮电大学学报自然科学版
L508,储能科学与技术
G432,川北医学院学报
N060,传感技术学报
R532,传感器与微系统
G458,传染病信息
X010,船舶工程
X633,船舶力学
X635,船海工程
G322,创伤外科杂志
G085,创伤与急危重病医学
G552,磁共振成像
D013,催化学报
E144,大地测量与地球动力学
E146,大地构造与成矿学
R051,大电机技术
H038,大豆科学
U512,大连工业大学学报
X024,大连海事大学学报
H005,大连海洋大学学报
X001,大连交通大学学报
J024,大连理工大学学报
G020,大连医科大学学报
E109,大气科学
E091,大气科学学报
S086,单片机与嵌入式系统应用
H040,淡水渔业
N004,弹道学报
T941,当代化工
Y503,导弹与航天运载技术
Y585,导航与控制
N019,低温工程
C055,低温物理学报
E133,地层学杂志
E130,地理科学
E584,地理科学进展
E639,地理空间信息
E315,地理信息世界
E305,地理学报
E310,地理研究
E527,地理与地理信息科学
E024,地球化学
E570,地球环境学报
E142,地球科学
E115,地球科学进展
E004,地球科学与环境学报
E153,地球物理学报
E308,地球物理学进展
E656,地球信息科学学报
E300,地球学报
E549,地球与环境
V031,地下空间与工程学报
E357,地学前缘
S741,地域研究与开发
E306,地震
E150,地震地质
E307,地震工程学报
E118,地震工程与工程振动
E143,地震学报
E112,地震研究
E362,地质科技情报
E139,地质科学
E026,地质力学学报
E009,地质论评
E127,地质通报
E010,地质学报
E151,地质与勘探
E525,地质与资源
E132,地质找矿论丛
G005,第二军医大学学报
G021,第三军医大学学报
E301,第四纪研究
R007,电波科学学报
R003,电池
Z015,电镀与环保
T508,电镀与精饰
T598,电镀与涂饰
R010,电工电能新技术
R043,电工技术学报
R740,电光与控制
N067,电焊机
D036,电化学
R088,电机与控制学报
R045,电机与控制应用
N027,电加工与模具
R011,电力电子技术
A199,电力建设
R654,电力科学与技术学报
N102,电力系统保护与控制
R071,电力系统及其自动化学报
S019,电力系统自动化
R750,电力需求侧管理
